,expavg,sqrtMSE,MSE,Bj,v,av,ai,Wdis,avg,variance,FD,sqrtMSE_FD
2.966,1.774116667204061,0.044324895060373855,0.001991255660508844,0.003100950580720914,0.0019779758467309023,0.9863242867264048,0.7979593866745532,0.016994759020722665,1.7903095454545452,0.020911761129752068,1.7733147864338226,0.04406659055274435
2.9665,1.7694220364548907,0.044355488908843665,0.001993721713025502,0.0030948274711400732,0.0019805158555254374,0.9863233706884738,0.7986755815496179,0.017016393825654817,1.7856668181818183,0.020939364916528973,1.7686504243561636,0.044098895939022234
2.967,1.7654407107407293,0.04421055847408838,0.001981219206551574,0.0032426031404554937,0.0019664479097534745,0.9863395001215967,0.7850615143524604,0.016896510600135868,1.78158,0.020790564114049614,1.764683489399864,0.04393412198695387
2.9675,1.7607963089975942,0.0443075368491094,0.0019879933154258985,0.003399675962690446,0.001971579666253167,0.9863520912867852,0.7727211990802728,0.016940135478473554,1.7769968181818183,0.0208516939801653,1.7600566827033446,0.044018119745557874
2.968,1.7561508813340412,0.04421081584370973,0.001978986367812783,0.0038711915607512466,0.001956827147001924,0.9863799804521335,0.7379906010783244,0.016814281733407432,1.7722449999999998,0.020699915586776862,1.7554307182665925,0.043859945452149704
2.9685,1.751461453293461,0.044319977288508366,0.001989269069751554,0.003340038399931129,0.0019735153603316446,0.986347356331744,0.7775614257746033,0.016956650594318588,1.7676772727272727,0.020871222366942166,1.750720622132954,0.04403751259625872
2.969,1.7471778450386908,0.04429240433493796,0.001986850422197293,0.003388802107844831,0.001970549081211321,0.9863513353035305,0.7735112141679306,0.016931363998396717,1.763366818181818,0.020840075525619867,1.7464354541834215,0.04400359942354411
2.9695,1.7414679195750478,0.04436333301492295,0.0019923717275155254,0.0034065876154491066,0.001975910945208648,0.986352356062233,0.7724429125922962,0.016977019056790776,1.757705,0.020899436853719033,1.7407279809432092,0.044075311738425035
2.97,1.7372108000157864,0.04451256289151794,0.0020031014654527677,0.0037596864791889202,0.001982558293530185,0.9863737107415718,0.7468840351201266,0.017033464987106256,1.7535177272727274,0.020980581062809877,1.7364842622856211,0.04418842468763183
2.9705,1.7324851504618142,0.04453225639194883,0.0020046020035590487,0.0037956956950424606,0.0019836180013922235,0.9863754674490313,0.7444654615353571,0.017042474250279147,1.7487827272727272,0.020992902874380184,1.7317402530224482,0.044204293704012146
2.971,1.7274593667065965,0.044573877464391815,0.0020077891783554574,0.004834313794737803,0.0019714797406146438,0.9864097804513845,0.6828831497561889,0.016938746804351867,1.7436727272727273,0.020872540494214914,1.7267339804683755,0.044088265830095716
2.9715,1.7231157674330382,0.044601932473600586,0.0020115203351765993,0.005627679693386798,0.0019605171346266438,0.9864239572901261,0.6455942851343656,0.01684520586974908,1.7392386363636367,0.020757491476859534,1.7223934304938877,0.0439633824672007
2.972,1.71827824098377,0.044594687739254533,0.0020099014797147407,0.005141271800439556,0.001968223994751011,0.9864159974520159,0.6676947171093046,0.01691094318626499,1.7344472727272726,0.02083914859834716,1.7175363295410078,0.044053597276571044
2.9725,1.7135101811436173,0.044569122871491784,0.002007094968718982,0.0042758202831064416,0.0019795887796914993,0.9863947188238464,0.713807280901265,0.017007974960599692,1.7297781818181817,0.02095592293471072,1.712770206857582,0.04417516230794469
2.973,1.7086474337285658,0.044688447258937565,0.0020172527242539153,0.0037368123508512434,0.0019971025571509596,0.9863719474995039,0.7492572078417263,0.017157339557667916,1.7250545454545454,0.02113990125371902,1.7078972058968773,0.044374391280262125
2.9735,1.7039638320466266,0.04477395024011353,0.0020245069702849164,0.0035982454233912087,0.0020060811315076015,0.9863636977895858,0.7596886833771987,0.017233868001341267,1.7204290909090911,0.021235556528099206,1.70319522290775,0.044480342365078286
2.974,1.6995575832652547,0.044936863821683576,0.002038628215875391,0.003359400272196945,0.002022982488560041,0.9863458146344918,0.7790836724812371,0.017377924266321607,1.7161468181818182,0.02141478742066114,1.6987688939154966,0.044676651420018414
2.9745,1.6950788581425726,0.0450038750092106,0.002043824215519721,0.0034193622416633404,0.002027561765502149,0.9863503016835011,0.7745805965142935,0.017416893152998398,1.7116922727272725,0.02146682967107434,1.6942753795742742,0.04473998400349994
2.975,1.6908217067618398,0.04499822535284004,0.0020422586825004367,0.0038020660511368268,0.0020214875462159516,0.9863743287076635,0.7460395045853606,0.01736498277095899,1.7073836363636363,0.02140903669173556,1.6900186535926773,0.04468881783894664
2.9755,1.6866710696742835,0.04503216514284266,0.002045936780285096,0.0034697022841210638,0.0020291315440856745,0.9863539616471058,0.7707374439832169,0.017430236994621075,1.7032809090909091,0.02148546293305788,1.685850672096288,0.04476391856409036
2.976,1.6821441432292787,0.04498653041253532,0.0020416567753123735,0.0036426095289482175,0.002022829362031846,0.9863655864547125,0.7573933493230086,0.017376481930157176,1.6987122727272728,0.02142049736280989,1.6813357907971156,0.044696413265466806
2.9765,1.6779193107967534,0.04478448210018508,0.0020244614200136783,0.0041693726088367035,0.001998644187664351,0.9863906008590735,0.7210843468551799,0.017170294448200202,1.6942922727272727,0.02116395351900826,1.6771219782790725,0.04441556309638334
2.977,1.673681830873722,0.044802299513548006,0.0020261515907845948,0.004836067496948407,0.001990016875610169,0.9864095023240231,0.6835253666117164,0.017096613182174796,1.6899945454545453,0.02107634094214879,1.6728979322723705,0.044326501018884336
2.9775,1.6688872873703633,0.0447966147979242,0.0020254043075354803,0.004325900529999876,0.001997334698870555,0.986395879921472,0.7116737193030701,0.017159087553433774,1.6852513636363635,0.021151574101652942,1.6680922760829298,0.04440476127759957
2.978,1.6646178544114334,0.04487212174161269,0.002031980343855227,0.003801560383253554,0.002011136146522819,0.986374704094745,0.7455231871255953,0.017276826568721735,1.6810736363636365,0.02129531339586776,1.6637968097949147,0.04455746063588166
2.9785,1.6599527983999263,0.044876728489918534,0.0020323982754496804,0.0037786786319032573,0.002011843991443696,0.986373523484156,0.7471386214205575,0.017282864803965604,1.6764263636363634,0.021302652897520723,1.6591434988323979,0.0445651859447965
2.979,1.6554673797820267,0.04478758309411051,0.002025136145854135,0.003795388088883436,0.002004316475699909,0.9863746596114786,0.7455845017773698,0.017218750358140793,1.6718868181818183,0.021220280176033054,1.6546680678236774,0.04447018091689431
2.9795,1.6510369368087678,0.044868717531621555,0.0020321704792147384,0.0036032290694576314,0.002013740702166776,0.9863636398635426,0.7597582551281092,0.01729909766561937,1.6675263636363635,0.02131979003388426,1.6502272659707442,0.04457840937185408
2.98,1.6460795728155224,0.04493027538088168,0.002036714595830504,0.0038006201791320414,0.0020159188454529553,0.9863744722899912,0.7458423138392009,0.01731755824210742,1.6625990909090909,0.021347835331404986,1.6452815326669834,0.044618180548553966
2.9805,1.6409209205700157,0.04508629837545909,0.0020492332929162504,0.003966334732322549,0.0020264025689613278,0.9863817960057026,0.7352737102139961,0.017406772056567817,1.657524090909091,0.021465935504958653,1.640117318852523,0.044759002469257306
2.981,1.6369959044927254,0.04523461354181066,0.0020623752724183166,0.003528389437069905,0.002045019458906559,0.9863572256500576,0.7671724990068619,0.01756551634327039,1.6537527272727277,0.021661450537190104,1.6361872109294573,0.04496823426634359
2.9815,1.6326992449639386,0.045146263419074954,0.0020540374059232697,0.004106473741648159,0.0020293571302230583,0.9863873993468879,0.7264484155449207,0.01743187929758297,1.6493531818181815,0.0215005716421488,1.6319213025205985,0.04480211079878468
2.982,1.628059810578669,0.045144811227121204,0.002053901038424566,0.004132272013990013,0.0020288630074161776,0.9863883906925329,0.72481362613869,0.017427661473139906,1.644723181818182,0.021495515075206625,1.627295520345042,0.044796911095883254
